bin_start_leaf_index	FliJ	FliH	MotE	FliK	FliG
12350	31.0	47.0	9.0	2.0	6.0
12400	49.0	49.0	47.0	0.0	18.0
12450	48.0	46.0	19.0	0.0	4.0
12500	47.0	49.0	0.0	0.0	15.0
12550	48.0	44.0	0.0	0.0	0.0
12600	43.0	50.0	0.0	0.0	0.0
12650	23.0	44.0	2.0	0.0	1.0
12700	0.0	47.0	0.0	0.0	0.0
12750	0.0	49.0	0.0	0.0	0.0
12800	0.0	50.0	0.0	0.0	0.0
12850	0.0	44.0	0.0	0.0	0.0
12900	14.0	40.0	6.0	0.0	1.0
12950	28.0	41.0	21.0	1.0	3.0
13000	6.0	46.0	6.0	0.0	0.0
13050	42.0	48.0	33.0	1.0	1.0
13100	50.0	50.0	34.0	1.0	9.0
13150	48.0	50.0	21.0	0.0	10.0
13200	50.0	47.0	0.0	0.0	0.0
13250	50.0	50.0	2.0	0.0	0.0
13300	50.0	48.0	15.0	0.0	8.0
13350	50.0	50.0	17.0	1.0	1.0
13400	47.0	49.0	21.0	0.0	3.0
13450	46.0	45.0	14.0	0.0	0.0
13500	50.0	49.0	38.0	0.0	9.0
13550	47.0	47.0	31.0	0.0	13.0
13600	50.0	50.0	26.0	0.0	3.0
13650	46.0	50.0	30.0	0.0	9.0
13700	49.0	50.0	25.0	0.0	1.0
13750	48.0	47.0	22.0	0.0	2.0
13800	49.0	50.0	9.0	0.0	0.0
13850	50.0	49.0	15.0	0.0	0.0
13900	50.0	49.0	7.0	0.0	0.0
13950	49.0	50.0	15.0	0.0	1.0
14000	47.0	48.0	25.0	0.0	0.0
14050	48.0	47.0	12.0	0.0	4.0
14100	50.0	50.0	10.0	0.0	4.0
14150	50.0	48.0	12.0	0.0	1.0
14200	49.0	50.0	11.0	0.0	1.0
14250	48.0	49.0	5.0	0.0	0.0
14300	50.0	49.0	1.0	0.0	0.0
14350	48.0	50.0	1.0	0.0	0.0
14400	48.0	50.0	4.0	0.0	4.0
14450	50.0	50.0	3.0	0.0	2.0
14500	50.0	50.0	0.0	0.0	0.0
14550	49.0	47.0	13.0	0.0	0.0
14600	47.0	47.0	6.0	0.0	2.0
14650	49.0	47.0	3.0	0.0	1.0
14700	45.0	48.0	10.0	0.0	0.0
14750	50.0	48.0	25.0	0.0	0.0
14800	47.0	48.0	30.0	0.0	4.0
14850	47.0	45.0	34.0	0.0	4.0
14900	49.0	44.0	5.0	0.0	4.0
14950	46.0	43.0	27.0	0.0	2.0
15000	50.0	48.0	0.0	19.0	0.0
15050	48.0	48.0	0.0	4.0	0.0
15100	49.0	49.0	0.0	5.0	0.0
15150	48.0	49.0	0.0	10.0	0.0
15200	45.0	49.0	0.0	2.0	0.0
15250	39.0	43.0	0.0	0.0	0.0
15300	47.0	38.0	7.0	0.0	0.0
15350	48.0	48.0	0.0	9.0	0.0
15400	50.0	49.0	0.0	8.0	0.0
15450	50.0	49.0	0.0	2.0	0.0
15500	50.0	49.0	0.0	0.0	0.0
15550	49.0	48.0	0.0	1.0	0.0
15600	50.0	50.0	0.0	0.0	0.0
15650	47.0	49.0	0.0	6.0	0.0
15700	50.0	48.0	0.0	6.0	0.0
15750	50.0	48.0	0.0	2.0	0.0
15800	49.0	49.0	0.0	0.0	1.0
15850	48.0	49.0	0.0	1.0	0.0
15900	49.0	49.0	0.0	9.0	0.0
15950	48.0	46.0	0.0	5.0	0.0
16000	49.0	46.0	18.0	4.0	4.0
16050	50.0	47.0	32.0	0.0	5.0
