source	clade_size	clade_members
flagella_only	4	B62-G9,Brachyspirae,Brevinematia,JAAYUW01
flagella_only	4	AABM5-125-24,B3-LCP,BMS3BBIN04,UBA4055
flagella_only	4	9FT-COMBO-42-15,GWC2-55-46,Nitrospiria,RBG-16-64-22
flagella_only	4	Gemmatimonadetes,JABDJQ01,RBG-16-71-46,Rhodothermia
flagella_only	4	Aerophobia,Auribacteria,Brocadiia,JAFGBW01
flagella_only	4	Anaerolineae,Chloroflexia,FW602-bin22,UBA6077
flagella_only	4	Ch66,GCA-003054495,Syntrophomonadia,Thermincolia
flagella_only	4	CAIWXX01,Terriglobia,UBA6911,Vicinamibacteria
flagella_only	4	MHYJ01,SZUA-567,UBA8108,UBA8742
flagella_only	4	Atribacteria,DUMJ01,GBS-1,Synergistia
flagella_only	4	Binatia,Magnetococcia,UBA2361,Zetaproteobacteria
flagella_only	4	Deferrimicrobia,RBG-13-43-22,Thermodesulfovibrionia,UBA8473
gtdb_only	5	9FT-COMBO-42-15,CG2-30-53-67,Nitrospiria,RBG-16-64-22,Thermodesulfovibrionia
gtdb_only	5	Blastocatellia,Polarisedimenticolia,Terriglobia,UBA6911,Vicinamibacteria
gtdb_only	5	Desulfobulbia,Desulfofervidia,Desulfovibrionia,Dissulfuribacteria,Thermodesulfobacteria
gtdb_only	5	Anaerolineae,Chloroflexia,Dehalococcoidia,FW602-bin22,UBA6077
gtdb_only	5	Myxococcia,UBA4151,UBA727,WYAZ01,XYA12-FULL-58-9
gtdb_only	5	Calditrichia,JdFR-76,QNDG01,SM23-31,UBA2214
gtdb_only	5	Armatimonadia,Chthonomonadetes,Fimbriimonadia,HRBIN16,UBA5829
gtdb_only	5	DTU015,DUSP01,JABLXB01,JAJZYS01,Sulfobacillia
gtdb_only	5	BSN033,GWC2-55-46,SM23-61,UBA8473,WTBG01
gtdb_only	5	DSM-4660,Desulfobacteria,JADFXK01,QYQD01,RBG-13-43-22
gtdb_only	5	Gemmatimonadetes,Glassbacteria,JABDJQ01,Krumholzibacteria,RBG-16-71-46
gtdb_only	5	Alphaproteobacteria,Gammaproteobacteria,Leptospirillia,Magnetococcia,Zetaproteobacteria
gtdb_only	5	GWA2-38-11,Nitrospinia,UBA7883,UBA8248,UBA9942
flagella_only	5	B15-G4,GCA-002687715,J058,UBA11346,UBA1135
flagella_only	5	4484-107,JdFR-76,QNDG01,SM23-31,UBA2214
flagella_only	5	Acidimicrobiia,Actinomycetia,JAJZYS01,RBS10-35,Sulfobacillia
flagella_only	5	Chrysiogenetes,Deferribacteres,Deferrisomatia,JAJRXV01,Thermosulfidibacteria
flagella_only	5	Blastocatellia,CAIWXX01,Terriglobia,UBA6911,Vicinamibacteria
flagella_only	5	Desulfotomaculia,Dethiobacteria,Moorellia,UBA3575,Z-2901
flagella_only	5	JADFXK01,Nitrospinia,S145-22,UBA7883,UBA9942
flagella_only	5	Elusimicrobia,HRBIN17,JAAXVQ01,UBA10988,UBA5377
flagella_only	5	Aquificae,Calescibacteriia,Campylobacteria,Desulfurellia,Desulfurobacteriia
flagella_only	5	B64-G9,Myxococcia,Polyangia,UBA727,XYA12-FULL-58-9
flagella_only	5	Aerophobia,Auribacteria,Brocadiia,JAFGBW01,Koll11
flagella_only	5	DTU015,DUSP01,JABLXB01,JAJYWN01,Symbiobacteriia
flagella_only	5	Gemmatimonadetes,JABDJQ01,Methylomirabilia,RBG-16-71-46,Rhodothermia
flagella_only	5	DTU065,DTU084,Limnochordia,UBA4882,UBA5301
flagella_only	5	Ch66,DSM-12270,GCA-003054495,Syntrophomonadia,Thermincolia
flagella_only	5	Halanaerobiia,Natranaerobiia,Proteinivoracia,Thermoanaerobacteria,Thermosediminibacteria
flagella_only	5	Calditrichia,Marinisomatia,SORT01,UBA2242,UBA8477
gtdb_only	6	GWA2-38-11,Methylomirabilia,Nitrospinia,UBA7883,UBA8248,UBA9942
gtdb_only	6	DTU065,DTU084,Limnochordia,SHA-98,UBA4882,UBA5301
gtdb_only	6	Armatimonadia,Chthonomonadetes,Fimbriimonadia,HRBIN16,JAAZEB01,UBA5829
gtdb_only	6	B64-G9,Myxococcia,UBA4151,UBA727,WYAZ01,XYA12-FULL-58-9
gtdb_only	6	DSM-4660,Desulfobacteria,JADFXK01,QYQD01,RBG-13-43-22,Syntrophobacteria
gtdb_only	6	Bacilli,DTU030,Dethiobacteria,Natranaerobiia,Proteinivoracia,UBA994
gtdb_only	6	Anaerolineae,Chloroflexia,Dehalococcoidia,FW602-bin22,Ktedonobacteria,UBA6077
gtdb_only	6	B62-G9,Brachyspirae,GWE2-31-10,JAAYUW01,Spirochaetia,UBA12135
gtdb_only	6	DTPJ01,Hydrogenedentia,OLB16,SURF-5,Sumerlaeia,WGA-4E
gtdb_only	6	B15-G4,GCA-002687715,J058,UBA1135,UBA8108,UBA8742
gtdb_only	6	Acidimicrobiia,Actinomycetia,Aquicultoria,Geothermincolia,Humimicrobiia,Thermoleophilia
gtdb_only	6	Bacteriovoracia,Bdellovibrionia,FAC87,UBA1018,UBA2394,UBA2428
