source	clade_size	clade_members
gtdb_only	4	DTU022,Dethiobacterales,Natranaerobiales,SKNC01
gtdb_only	4	DSM-19610,JAHJQQ01,SZUA-21,Thiohalobacterales
gtdb_only	4	BW-2,GCF-002020875,GRL18,JABHGC01
gtdb_only	4	B68-G9,Latescibacterales,UBA2968,UBA8231
gtdb_only	4	Monoglobales,Oscillospirales,SK-Y3,UBA1381
gtdb_only	4	Oligoflexales,SZUA-149,Silvanigrellales,UBA2361
gtdb_only	4	GCA-2729495,PWYM01,UBA6522,Woeseiales
gtdb_only	4	Bacteriovoracales,CAIPTA01,UBA1018,UBA2428
gtdb_only	4	JAAYCJ01,SM23-33,Sedimentisphaerales,UBA1845
gtdb_only	4	Anaeroferrophillales,Deferrimicrobiales,Deferrisomatales,S145-22
flagella_only	4	Koleobacterales,Natranaerobiales,Proteinivoracales,Thermosediminibacterales
flagella_only	4	GWF2-35-9,Gastranaerophilales,LMEP-6097,Vampirovibrionales
flagella_only	4	B21-G9,Petrotogales,Thermotogales,UBA12178
flagella_only	4	C00003060,Desulfatiglandales,Desulfobacterales,JAGOGO01
flagella_only	4	DTU010,DTU087,JAAZLZ01,Limnochordales_A
flagella_only	4	MHYJ01,UBA1146,UBA2392,WSZJ01
flagella_only	4	B68-G9,JACIZP01,QNDG01,UBA2214
flagella_only	4	FEN-1173,HRBIN17,UBA10988,UBA5377
flagella_only	4	JAAXVQ01,JAJTBE01,RGZZ01,Xenobiales
flagella_only	4	DTU086,DULZ01,JADQBR01,PH28-bin88
flagella_only	4	Elsterales,Micavibrionales,TMED2,UBA9219
flagella_only	4	CAIYQO01,JAAZEB01,UBA5829,WVXJ01
flagella_only	4	20CM-2-55-15,CAIWXX01,UBA6911,Vicinamibacterales
flagella_only	4	RF32,Rhodospirillales,Rhodospirillales_A,UBA8366
flagella_only	4	Carboxydocellales,Ch66,Syntrophomonadales,Thermincolales
flagella_only	4	Balneolales,CAIMUX01,JABDJQ01,Rhodothermales
flagella_only	4	Fen-1088,Myxococcales,Palsa-1104,UBA727
flagella_only	4	CSP1-3,Gaiellales,Miltoncostaeales,Solirubrobacterales
flagella_only	4	Bdellovibrionales,CAIPTA01,JABDDW01,UBA1018
flagella_only	4	Monoglobales,Saccharofermentanales,UBA1212,UBA1381
flagella_only	4	Erysipelotrichales,Eubacteriales,Oscillospirales,UBA4068
flagella_only	4	Flavobacteriales,Puniceispirillales,Sphingomonadales,TMED127
flagella_only	4	Nevskiales,Steroidobacterales,UBA5335,Xanthomonadales
flagella_only	4	JAAYCJ01,Tepidisphaerales,UBA1845,WQYP01
flagella_only	4	Berkiellales,Enterobacterales_A,Piscirickettsiales,UBA1113
flagella_only	4	21-64-14,DSM-19610,JAHJQQ01,Thiohalobacterales
flagella_only	4	AABM5-125-24,B3-LCP,BMS3BBIN04,CAIWAD01
flagella_only	4	Calditrichales,Marinisomatales,UBA2242,UBA8477
flagella_only	4	GWC2-55-46,HDB-SIOI813,RBG-16-64-22,UBA9637
flagella_only	4	GCA-2747355,Haliangiales,Nannocystales,Polyangiales
flagella_only	4	Bacillales,Bacillales_D,Bacillales_H,Bacillales_I
flagella_only	4	Aquificales,Calescibacteriales,Desulfurobacteriales,Hydrogenothermales
flagella_only	4	Deferrimicrobiales,RBG-13-43-22,UBA6902,UBA8473
flagella_only	4	Fusobacteriales,Muirbacteriales,Ozemobacterales,UBA6191
flagella_only	4	DTU015,DUSP01,JABLXB01,JAJYWN01
flagella_only	4	GCA-2731375,Minwuiales,Sneathiellales,UBA2966
flagella_only	4	DSM-1736,Sporomusales,Sporomusales_A,Sporomusales_C
flagella_only	4	DRMK01,JAFLJP01,S012-40,Thiohalomonadales
flagella_only	4	B62-G9,Brachyspirales,Brevinematales,JAHITG01
flagella_only	4	Atribacterales,DUMJ01,GBS-1,Synergistales
flagella_only	4	B11-G9,DSM-16054,SPDA01,UBA9216
gtdb_only	5	DRI-13,Desulfitobacteriales,Heliobacteriales,Peptococcales,UBA4068
gtdb_only	5	ARS1246,B11-G9,DSM-16054,JC444,UBA9216
gtdb_only	5	Motilibacterales,Mycobacteriales,Nanopelagicales,Propionibacteriales,Streptosporangiales
gtdb_only	5	20CM-2-55-15,Acidoferrales,Bryobacterales,Terriglobales,UBA7540
gtdb_only	5	Berkiellales,DSM-16500,Legionellales,Piscirickettsiales,UBA1113
gtdb_only	5	B21-G9,MWEM01,Petrotogales,Thermotogales,UBA12178
gtdb_only	5	GCA-2729495,PWYM01,UBA6522,Woeseiales,XN24
gtdb_only	5	Aerophobales,Auribacterales,B26-G9,Duberdicusellales,S143-82
gtdb_only	5	Desulfobulbales,Desulfofervidales,Desulfovibrionales,Dissulfuribacterales,Thermodesulfobacteriales
gtdb_only	5	JABWBI01,MVZB01,OLB16,SURF-12,UBA8349
gtdb_only	5	Ectothiorhodospirales,Ectothiorhodospirales_A,J044,UBA4575,UWMA-0217
gtdb_only	5	4572-78,Anaerolineales,Caldilineales,DUEN01,Thermomicrobiales
gtdb_only	5	GCA-2400775,JADJWH01,SZUA-140,SZUA-76,VBWC01
gtdb_only	5	GCA-001735895,Granulosicoccales,Halothiobacillales,SZUA-229,UBA5861
gtdb_only	5	Acidiferrobacterales,Acidithiobacillales,Arenicellales,Burkholderiales,Immundisolibacterales
gtdb_only	5	CAIMUX01,JACNKJ01,Krumholzibacteriales,LZORAL124-64-63,RBG-16-71-46
gtdb_only	5	Myxococcales,UBA4151,UBA727,WYAZ01,XYA12-FULL-58-9
gtdb_only	5	Ch29,Eubacteriales,Lutisporales,Peptostreptococcales,Tissierellales
gtdb_only	5	Marinisomatales,SCGC-AAA003-L08,SORT01,UBA2242,UBA8477
gtdb_only	5	DTU022,Dethiobacterales,Natranaerobiales,Proteinivoracales,SKNC01
gtdb_only	5	Caulobacterales,Micropepsales,Parvibaculales,Rhizobiales,Rhodobacterales
gtdb_only	5	Acetivibrionales,Acetivibrionales_A,Saccharofermentanales,TANB77,UBA1212
gtdb_only	5	Gastranaerophilales,LMEP-6097,S15B-MN24,UBA7694,Vampirovibrionales
gtdb_only	5	Armatimonadales,Chthonomonadales,Fimbriimonadales,HRBIN16,UBA5829
gtdb_only	5	Ammonifexales,Carboxydocellales,Carboxydothermales,Desulfotomaculales,Thermincolales
gtdb_only	5	DTU030,DUMP01,PWPR01,UBA5500,UBA994
gtdb_only	5	DTU080,DUMW01,JAAZLZ01,Limnochordales,Limnochordales_A
gtdb_only	5	DTU015,DUSP01,JABLXB01,JAJZYS01,Sulfobacillales
gtdb_only	5	JACRGQ01,Nitrospinales,UBA7883,UBA8248,UBA9942
flagella_only	5	FEN-1099,JABWBI01,JACKCT01,MVZB01,UBA8349
flagella_only	5	BSN033,Dissulfuribacterales,QYQD01,SM23-61,Thermodesulfobacteriales
flagella_only	5	DTU010,DTU080,DTU087,JAAZLZ01,Limnochordales_A
flagella_only	5	C00003060,Desulfatiglandales,Desulfobacterales,JAGOGO01,Syntrophales
flagella_only	5	Christensenellales,Monoglobales,Saccharofermentanales,UBA1212,UBA1381
flagella_only	5	GCA-2747355,Haliangiales,Nannocystales,Polyangiales,XYA12-FULL-58-9
flagella_only	5	B15-G4,GCA-002687715,J058,UBA1135,UBA2386
flagella_only	5	B62-G9,Brachyspirales,Brevinematales,JAAYUW01,JAHITG01
flagella_only	5	Acetivibrionales,Acetivibrionales_A,Ch29,Lutisporales,SK-Y3
flagella_only	5	Calditrichales,Marinisomatales,SCGC-AAA003-L08,UBA2242,UBA8477
flagella_only	5	Aneurinibacillales,Brevibacillales,Caldalkalibacillales,Paenibacillales,Tepidibacillales
flagella_only	5	Ga0077536,HK1,JAABTG01,JAJPIJ01,UBA4486
flagella_only	5	Bacteriovoracales,Bdellovibrionales,CAIPTA01,JABDDW01,UBA1018
flagella_only	5	ARS1246,B11-G9,DSM-16054,SPDA01,UBA9216
flagella_only	5	Ectothiorhodospirales,Ectothiorhodospirales_A,J044,PWYM01,XN24
flagella_only	5	Dongiales,JAEULC01,Kiloniellales,SMXQ01,UBA6615
flagella_only	5	Deferrimicrobiales,RBG-13-43-22,Thermodesulfovibrionales,UBA6902,UBA8473
flagella_only	5	JAAYCJ01,Phycisphaerales,Tepidisphaerales,UBA1845,WQYP01
flagella_only	5	CSP1-3,Gaiellales,Geothermincolales,Miltoncostaeales,Solirubrobacterales
flagella_only	5	Aquicultorales,Ch115,DTU014,DTUO25,UBA4971
flagella_only	5	B21-G9,Mesoaciditogales,Petrotogales,Thermotogales,UBA12178
flagella_only	5	DSM-1736,Propionisporales,Sporomusales,Sporomusales_A,Sporomusales_C
flagella_only	5	DTU015,DUSP01,JABLXB01,JAJYWN01,Symbiobacteriales
flagella_only	5	MHYJ01,SZUA-567,UBA1146,UBA2392,WSZJ01
flagella_only	5	Berkiellales,Enterobacterales_A,Piscirickettsiales,Pseudomonadales,UBA1113
flagella_only	5	Aerophobales,Auribacterales,B26-G9,Brocadiales,S143-82
flagella_only	5	AABM5-125-24,B3-LCP,BMS3BBIN04,CAIWAD01,RPQS01
flagella_only	5	GCA-2729495,JABDKV01,SLND01,UBA6522,Woeseiales
flagella_only	5	Carboxydocellales,Ch66,Heliobacteriales,Syntrophomonadales,Thermincolales
flagella_only	5	Actinomycetales,Motilibacterales,Mycobacteriales,Propionibacteriales,Streptosporangiales
flagella_only	5	DRMK01,JAFLJP01,S012-40,Thiohalomonadales,UBA6429
gtdb_only	6	Caulobacterales,Micropepsales,Parvibaculales,Rhizobiales,Rhodobacterales,Zavarziniales
gtdb_only	6	BW-2,Chromatiales,GCF-002020875,GRL18,JABHGC01,Methylococcales
gtdb_only	6	Ch29,Clostridiales,Eubacteriales,Lutisporales,Peptostreptococcales,Tissierellales
gtdb_only	6	Armatimonadales,Chthonomonadales,Fimbriimonadales,HRBIN16,JAAZEB01,UBA5829
gtdb_only	6	C00003060,Desulfatiglandales,Desulfobacterales,JADFXK01,QYQD01,RBG-13-43-22
