taxon	present_in
DYOH01	gtdb_only
DYRK01	gtdb_only
Danuiimicrobiaceae	gtdb_only
Dehalobacteriaceae	gtdb_only
Dehalococcoidaceae	gtdb_only
Deianiraeaceae	gtdb_only
Deinococcaceae	gtdb_only
Demequinaceae	gtdb_only
Dermabacteraceae	gtdb_only
Desertifilaceae	gtdb_only
Desulfobaccaceae	gtdb_only
Desulfococcaceae	gtdb_only
Desulfomonilaceae	gtdb_only
Desulfosudaceae	gtdb_only
Dethiosulfatibacteraceae	gtdb_only
Dialisteraceae	gtdb_only
Dictyoglomaceae	gtdb_only
Diplorickettsiaceae	gtdb_only
Dormibacteraceae	gtdb_only
Duberdicusellaceae	gtdb_only
Dysgonomonadaceae	gtdb_only
E44-bin15	gtdb_only
E44-bin46	gtdb_only
E44-bin80	gtdb_only
E44-bin88	gtdb_only
ECT2AJA-044	gtdb_only
Eggerthellaceae	gtdb_only
Egibacteraceae	gtdb_only
Elainellaceae	gtdb_only
Elusimicrobiaceae	gtdb_only
Endomicrobiaceae	gtdb_only
Entotheonellaceae	gtdb_only
Eremiobacteraceae	gtdb_only
EsbW-18	gtdb_only
EtOH8	gtdb_only
Evansiaceae	gtdb_only
F082	gtdb_only
F1-12-MAGs170	gtdb_only
F1-60-MAGs149	gtdb_only
F1-80-MAGS106	gtdb_only
F11	gtdb_only
FACHB-46	gtdb_only
FACHB-T130	gtdb_only
FEN-1388	gtdb_only
FEN-979	gtdb_only
Fastidiosipilaceae	gtdb_only
Feifaniaceae	gtdb_only
Fen-1058	gtdb_only
Fen-1064	gtdb_only
Fen-181	gtdb_only
Fen-336	gtdb_only
Fermentibacteraceae	gtdb_only
Firm-18	gtdb_only
Flammeovirgaceae	gtdb_only
Flexistipitaceae	gtdb_only
Francisellaceae	gtdb_only
Frankiaceae	gtdb_only
Fredricksoniimonadaceae	gtdb_only
G3-4614	gtdb_only
GAS474	gtdb_only
GCA-002691585	gtdb_only
GCA-002694895	gtdb_only
GCA-002704045	gtdb_only
GCA-002705445	gtdb_only
GCA-002707645	gtdb_only
GCA-002708145	gtdb_only
GCA-002716945	gtdb_only
GCA-002718135	gtdb_only
GCA-002719095	gtdb_only
GCA-002719695	gtdb_only
GCA-002720895	gtdb_only
GCA-002722245	gtdb_only
GCA-002723415	gtdb_only
GCA-002724975	gtdb_only
GCA-002772825	gtdb_only
GCA-002772895	gtdb_only
GCA-002788555	gtdb_only
GCA-002791395	gtdb_only
GCA-002793355	gtdb_only
GCA-016699535	gtdb_only
GCA-016699755	gtdb_only
GCA-016700035	gtdb_only
GCA-2401785	gtdb_only
GCA-2402025	gtdb_only
GCA-2699445	gtdb_only
GCA-2701885	gtdb_only
GCA-2709665	gtdb_only
GCA-2711565	gtdb_only
GCA-2712585	gtdb_only
GCA-2715965	gtdb_only
GCA-2716585	gtdb_only
GCA-2717385	gtdb_only
GCA-2717565	gtdb_only
GCA-2718715	gtdb_only
GCA-2719675	gtdb_only
GCA-2720935	gtdb_only
GCA-2747355	gtdb_only
GCA-2747515	gtdb_only
GCA-2747955	gtdb_only
GCA-2748055	gtdb_only
GCA-2861595	gtdb_only
GM7ARS4	gtdb_only
GM7GCV1	gtdb_only
GWA1-39-11	gtdb_only
GWA1-40-21	gtdb_only
GWA2-32-17	gtdb_only
GWA2-35-9	gtdb_only
GWA2-36-10	gtdb_only
GWA2-37-8	gtdb_only
GWA2-38-11	gtdb_only
GWA2-38-13	gtdb_only
GWA2-38-27	gtdb_only
GWA2-41-24	gtdb_only
GWA2-42-14	gtdb_only
GWA2-42-15	gtdb_only
GWA2-43-13	gtdb_only
GWA2-44-9	gtdb_only
GWA2-46-15	gtdb_only
GWA2-46-9	gtdb_only
GWA2-47-10b	gtdb_only
GWA2-47-26	gtdb_only
GWA2-47-8	gtdb_only
GWB1-40-14	gtdb_only
GWB1-42-6	gtdb_only
GWB1-50-10	gtdb_only
GWC2-37-13	gtdb_only
GWC2-37-73	gtdb_only
GWC2-42-12	gtdb_only
