taxon	present_in
PCC-9006	gtdb_only
PEXW01	gtdb_only
PFEM01	gtdb_only
PIVX01	gtdb_only
PLA2	gtdb_only
PS1	gtdb_only
PUNC01	gtdb_only
PUPC01	gtdb_only
PWKH01	gtdb_only
PWTM01	gtdb_only
PWVN01	gtdb_only
PXCX01	gtdb_only
Paceibacterales	gtdb_only
Palsa-1180	gtdb_only
Palsa-1295	gtdb_only
Palsa-1439	gtdb_only
Pelagibacterales	gtdb_only
Peribacterales	gtdb_only
Phormidesmiales	gtdb_only
Pluralincolimonadales	gtdb_only
Plut-88900	gtdb_only
Porisulfidales	gtdb_only
Portnoybacterales	gtdb_only
Promineofilales	gtdb_only
Pseudanabaenales	gtdb_only
Pseudomonadales_A	gtdb_only
QHBO01	gtdb_only
QNBC01	gtdb_only
QNFN01	gtdb_only
QS-5-54-17	gtdb_only
RBG-13-40-8-A	gtdb_only
RBG-13-53-26	gtdb_only
RBG-13-61-14	gtdb_only
RBG-13-66-14	gtdb_only
RBG-16-42-10	gtdb_only
RBG-16-55-9	gtdb_only
RBG-16-64-13	gtdb_only
REDH01	gtdb_only
REEB76	gtdb_only
RF39	gtdb_only
RFN20	gtdb_only
RFP12	gtdb_only
RGIG6154	gtdb_only
RGIG7378	gtdb_only
RGIG982	gtdb_only
RGXB01	gtdb_only
RKRP01	gtdb_only
RKRQ01	gtdb_only
RPQK01	gtdb_only
RUG11792	gtdb_only
RUG12999	gtdb_only
RUG730	gtdb_only
Reyranellales	gtdb_only
Rhizobiales_A	gtdb_only
Rickettsiales_A	gtdb_only
Rs-D84	gtdb_only
Rubrobacterales	gtdb_only
Ryanbacterales	gtdb_only
S016-38	gtdb_only
S139-126	gtdb_only
S144-34	gtdb_only
SAR202	gtdb_only
SAR86	gtdb_only
SB-45	gtdb_only
SB21	gtdb_only
SBBC01	gtdb_only
SBBH01	gtdb_only
SC72	gtdb_only
SDB-A	gtdb_only
SG8-24	gtdb_only
SHVP01	gtdb_only
SHVT01	gtdb_only
SHVV01	gtdb_only
SHVW01	gtdb_only
SHYB01	gtdb_only
SHYD01	gtdb_only
SHYM01	gtdb_only
SJA-28	gtdb_only
SKK-01	gtdb_only
SKZP01	gtdb_only
SLAD01	gtdb_only
SLGR01	gtdb_only
SLMS01	gtdb_only
SLPQ01	gtdb_only
SLRQ01	gtdb_only
SM23-28-2	gtdb_only
SM23-31	gtdb_only
SM23-42	gtdb_only
SMXP01	gtdb_only
SMXS01	gtdb_only
SP197	gtdb_only
SPLOWO2-01-44-7	gtdb_only
SS1-B-03-39	gtdb_only
SSC4	gtdb_only
SURF-13	gtdb_only
SW-4-49-11	gtdb_only
SXHM01	gtdb_only
SXXA01	gtdb_only
SXXA01_A	gtdb_only
SYMT01	gtdb_only
SZUA-146	gtdb_only
SZUA-161	gtdb_only
SZUA-182	gtdb_only
SZUA-191	gtdb_only
SZUA-224	gtdb_only
SZUA-242	gtdb_only
SZUA-252	gtdb_only
SZUA-365	gtdb_only
Saccharimonadales	gtdb_only
SpSt-1050	gtdb_only
SpSt-1174	gtdb_only
SpSt-205	gtdb_only
SpSt-223	gtdb_only
SpSt-313	gtdb_only
SpSt-600	gtdb_only
Spechtbacterales	gtdb_only
Sphaerochaetales	gtdb_only
Sphingobacteriales	gtdb_only
Sporichthyales	gtdb_only
Staphylococcales	gtdb_only
Streptomycetales	gtdb_only
Subteraquimicrobiales	gtdb_only
Sumerlaeales	gtdb_only
Sungbacterales	gtdb_only
Synechococcales	gtdb_only
TC1	gtdb_only
TMED109	gtdb_only
TMED109_A	gtdb_only
TMED25	gtdb_only
Termititenacales	gtdb_only
Terrybacterales	gtdb_only
Thermoactinomycetales	gtdb_only
Thermoanaerobaculales	gtdb_only
Thermobaculales	gtdb_only
Thermoflexales	gtdb_only
Thermostichales	gtdb_only
Thermosynechococcales	gtdb_only
Thermotomaculales	gtdb_only
Thiohalorhabdales	gtdb_only
Thiotrichales	gtdb_only
UBA10025	gtdb_only
UBA10092	gtdb_only
UBA10105	gtdb_only
UBA101185	gtdb_only
UBA10183	gtdb_only
UBA10190	gtdb_only
UBA10329	gtdb_only
UBA1063	gtdb_only
UBA11073	gtdb_only
UBA11136	gtdb_only
UBA11222	gtdb_only
UBA1127	gtdb_only
UBA1144	gtdb_only
UBA1149	gtdb_only
UBA1151	gtdb_only
UBA11654	gtdb_only
UBA11705	gtdb_only
UBA1177	gtdb_only
UBA11872	gtdb_only
UBA12157	gtdb_only
UBA12402	gtdb_only
UBA12405	gtdb_only
UBA1369	gtdb_only
UBA1384	gtdb_only
UBA1398	gtdb_only
UBA1400	gtdb_only
UBA1406	gtdb_only
UBA1407	gtdb_only
UBA1429	gtdb_only
UBA1551	gtdb_only
UBA1558	gtdb_only
UBA1565	gtdb_only
UBA1875	gtdb_only
UBA2169	gtdb_only
UBA2196	gtdb_only
UBA2199	gtdb_only
UBA2200	gtdb_only
UBA2233	gtdb_only
UBA2241	gtdb_only
UBA2247	gtdb_only
UBA2258	gtdb_only
UBA2591	gtdb_only
UBA2766	gtdb_only
UBA2770	gtdb_only
UBA2774	gtdb_only
UBA2963	gtdb_only
UBA2985	gtdb_only
UBA3054	gtdb_only
UBA3071	gtdb_only
UBA3072	gtdb_only
UBA3073	gtdb_only
UBA3085	gtdb_only
UBA3495	gtdb_only
UBA3830	gtdb_only
UBA4142	gtdb_only
UBA4248	gtdb_only
UBA4473	gtdb_only
UBA4664	gtdb_only
UBA4733	gtdb_only
UBA4738	gtdb_only
UBA4820	gtdb_only
UBA4975	gtdb_only
UBA5066	gtdb_only
UBA5177	gtdb_only
UBA5704	gtdb_only
UBA6002	gtdb_only
UBA6098	gtdb_only
UBA6126	gtdb_only
UBA6184	gtdb_only
UBA6186	gtdb_only
UBA6257	gtdb_only
UBA6262	gtdb_only
UBA6266	gtdb_only
UBA6624	gtdb_only
UBA6729	gtdb_only
UBA6777	gtdb_only
UBA6919	gtdb_only
UBA6926	gtdb_only
UBA6952	gtdb_only
UBA7526	gtdb_only
UBA7656	gtdb_only
UBA7662	gtdb_only
UBA7702	gtdb_only
UBA7879	gtdb_only
UBA7887	gtdb_only
UBA7937	gtdb_only
UBA7950	gtdb_only
UBA7966	gtdb_only
UBA7985	gtdb_only
UBA8108	gtdb_only
UBA8153	gtdb_only
